1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,GarageArea,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
856,854.0,3.0,706,150,548,2003.0,1710,Gd,8450,65.0,196.0,61,5,7,856,2003,2003,208500
1262,0.0,3.0,978,284,460,1976.0,1262,TA,9600,80.0,0.0,0,8,6,1262,1976,1976,181500
920,866.0,3.0,486,434,608,2001.0,1786,Gd,11250,68.0,162.0,42,5,7,920,2001,2002,223500
961,0.0,2.883272058823529,216,540,642,1998.0,1717,Gd,9550,60.0,0.0,35,5,7,756,1915,1970,140000
1145,0.0,4.0,655,490,836,2000.0,2198,Gd,14260,84.0,350.0,84,5,8,1145,2000,2000,250000
796,566.0,1.0,732,64,480,1993.0,1362,TA,14115,85.0,0.0,30,5,5,796,1993,1995,143000
1694,0.0,3.0,1369,317,636,2004.0,1694,Gd,10084,75.0,186.0,57,5,8,1686,2004,2005,307000
1107,983.0,3.0,859,216,484,1973.0,2090,TA,10382,69.61401673640168,240.0,204,6,7,1107,1973,1973,200000
1022,752.0,2.0,0,952,468,1931.0,1774,TA,6120,51.0,0.0,0,5,7,952,1931,1950,129900
1077,0.0,2.0,851,140,205,1939.0,1077,TA,7420,50.0,0.0,4,6,5,991,1939,1950,118000
1040,0.0,3.0,906,134,384,1965.0,1040,TA,11200,70.0,0.0,0,5,5,1040,1965,1965,129500
1182,1142.0,4.0,998,177,736,2005.0,2324,Ex,11924,85.0,286.0,21,5,9,1175,2005,2006,345000
912,0.0,2.0,737,175,352,1962.0,912,TA,12968,69.61401673640168,0.0,0,6,5,912,1962,1962,144000
1494,0.0,3.0,0,1494,840,2006.0,1494,Gd,10652,91.0,306.0,33,5,7,1494,2006,2007,279500
1253,0.0,2.883272058823529,733,520,352,1960.0,1253,TA,10920,69.61401673640168,212.0,213,5,6,1253,1960,1960,157000
854,0.0,2.0,0,832,576,1991.0,854,TA,6120,51.0,0.0,112,8,7,832,1929,2001,132000
1004,0.0,2.0,578,426,480,1970.0,1004,TA,11241,69.61401673640168,180.0,0,7,6,1004,1970,1970,149000
1296,0.0,2.0,0,0,516,1967.0,1296,TA,10791,72.0,0.0,0,5,4,0,1967,1967,90000
1114,0.0,2.883272058823529,646,468,576,2004.0,1114,Gd,13695,66.0,0.0,102,5,5,1114,2004,2004,159000
1339,0.0,3.0,504,525,294,1958.0,1339,TA,7560,70.0,0.0,0,6,5,1029,1958,1965,139000
1158,1218.0,4.0,0,1158,853,2005.0,2376,Gd,14215,101.0,380.0,154,5,8,1158,2005,2006,325300
1108,0.0,3.0,0,637,280,1930.0,1108,Gd,7449,57.0,0.0,0,7,7,637,1930,1950,139400
1795,0.0,3.0,0,1777,534,2002.0,1795,Gd,9742,75.0,281.0,159,5,8,1777,2002,2002,230000
1060,0.0,3.0,840,200,572,1976.0,1060,TA,4224,44.0,0.0,110,7,5,1040,1976,1976,129900
1060,0.0,3.0,188,204,270,1968.0,1060,Gd,8246,69.61401673640168,0.0,90,8,5,1060,1968,2001,154000
1600,0.0,3.0,0,1566,890,2007.0,1600,Gd,14230,110.0,640.0,56,5,8,1566,2007,2007,256300
900,0.0,3.0,234,180,576,2005.0,900,Gd,7200,60.0,0.0,32,7,5,900,1951,2000,134800
1704,0.0,3.0,1218,486,772,2008.0,1704,Gd,11478,98.0,200.0,50,5,8,1704,2007,2008,306000
1600,0.0,2.0,1277,207,319,1957.0,1600,TA,16321,47.0,0.0,258,6,5,1484,1957,1997,207500
520,0.0,1.0,0,520,240,1920.0,520,Fa,6324,60.0,0.0,0,6,4,520,1927,1950,68500
649,668.0,3.0,0,649,250,1920.0,1317,TA,8500,50.0,0.0,54,4,4,649,1920,1950,40000
1228,0.0,3.0,0,1228,271,1966.0,1228,Gd,8544,69.61401673640168,0.0,65,6,5,1228,1966,2006,149350
1234,0.0,3.0,0,1234,484,2007.0,1234,Gd,11049,85.0,0.0,30,5,8,1234,2007,2007,179900
1700,0.0,4.0,1018,380,447,1959.0,1700,Gd,10552,70.0,0.0,38,5,5,1398,1959,1959,165500
1561,0.0,2.0,1153,408,556,2005.0,1561,Ex,7313,60.0,246.0,47,5,9,1561,2005,2005,277500
1132,1320.0,4.0,0,1117,691,2004.0,2452,Gd,13418,108.0,132.0,32,5,8,1117,2004,2005,309000
1097,0.0,3.0,0,1097,672,1995.0,1097,TA,10859,112.0,0.0,64,5,5,1097,1994,1995,145000
1297,0.0,2.883272058823529,1213,84,498,1954.0,1297,TA,8532,74.0,650.0,0,6,5,1297,1954,1990,153000
1057,0.0,3.0,731,326,246,1953.0,1057,Gd,7922,68.0,0.0,52,7,5,1057,1953,2007,109000
1152,0.0,2.883272058823529,0,0,0,1979.0,1152,Fa,6040,65.0,0.0,0,5,4,0,1955,1955,82000
1324,0.0,3.0,643,445,440,1965.0,1324,TA,8658,84.0,101.0,138,5,6,1088,1965,1965,160000
1328,0.0,2.0,967,383,308,1959.0,1328,TA,16905,115.0,0.0,104,6,5,1350,1959,1959,170000
884,0.0,2.0,747,0,504,1983.0,884,Gd,9180,69.61401673640168,0.0,0,7,5,840,1983,1983,144000
938,0.0,3.0,280,167,308,1977.0,938,TA,9200,69.61401673640168,0.0,0,6,5,938,1975,1980,130250
1150,0.0,3.0,179,465,300,1959.0,1150,TA,7945,70.0,0.0,0,6,5,1150,1959,1959,141000
1752,0.0,2.0,456,1296,576,2005.0,1752,Ex,7658,61.0,412.0,82,5,9,1752,2005,2005,319900
1518,631.0,1.0,1351,83,670,2003.0,2149,Gd,12822,48.0,0.0,43,5,7,1434,2003,2003,239686
1656,0.0,3.0,24,1632,826,2006.0,1656,Gd,11096,84.0,0.0,146,5,8,1656,2006,2006,249700
736,716.0,2.0,0,736,0,1979.0,1452,TA,4456,33.0,0.0,0,5,4,736,1920,2008,113000
955,0.0,3.0,763,192,386,1966.0,955,TA,7742,66.0,0.0,0,7,5,955,1966,1966,127000
794,676.0,2.883272058823529,182,612,388,1997.0,1470,TA,13869,69.61401673640168,0.0,75,6,6,794,1997,1997,177000
816,0.0,3.0,0,816,528,1985.0,1176,TA,6240,52.0,0.0,0,6,6,816,1934,1950,114500
816,0.0,2.0,104,0,516,1963.0,816,TA,8472,110.0,0.0,0,5,5,816,1963,1963,110000
1842,0.0,0.0,1810,32,894,1981.0,1842,Gd,50271,68.0,0.0,72,5,9,1842,1981,1987,385000
1360,0.0,2.883272058823529,384,0,572,1962.0,1360,TA,7134,60.0,0.0,50,5,5,384,1955,1955,130000
1425,0.0,3.0,490,935,576,1964.0,1425,TA,10175,100.0,272.0,0,5,6,1425,1964,1964,180500
983,756.0,3.0,649,321,480,1999.0,1739,Gd,2645,24.0,456.0,0,5,8,970,1999,2000,172500
860,0.0,3.0,0,860,565,2004.0,1720,Gd,11645,89.0,0.0,70,5,7,860,2004,2004,196500
1426,1519.0,3.0,0,1410,641,2006.0,2945,Gd,13682,66.0,1031.0,0,5,10,1410,2006,2006,438780
780,0.0,2.0,632,148,352,1973.0,780,TA,7200,60.0,0.0,0,7,5,780,1972,1972,124900
1158,0.0,3.0,941,217,576,2006.0,1158,Gd,13072,63.0,0.0,50,5,6,1158,2004,2004,158000
581,530.0,3.0,0,530,288,1935.0,1111,Fa,7200,60.0,0.0,0,7,5,530,1920,1996,101000
1370,0.0,2.0,24,1346,484,2006.0,1370,Gd,6442,44.0,178.0,49,5,8,1370,2006,2006,202500
902,808.0,3.0,0,576,480,1990.0,1710,TA,10300,50.0,0.0,11,6,7,576,1921,1950,140000
1057,977.0,2.883272058823529,739,318,645,1998.0,2034,Gd,9375,69.61401673640168,573.0,36,5,7,1057,1997,1998,219500
1143,1330.0,4.0,0,1143,852,2004.0,2473,Gd,9591,76.0,344.0,151,5,8,1143,2004,2005,317000
2207,0.0,3.0,912,1035,576,1970.0,2207,TA,19900,69.61401673640168,287.0,0,5,7,1947,1970,1989,180000
1479,0.0,3.0,1013,440,558,2003.0,1479,Gd,10665,72.0,167.0,29,5,7,1453,2003,2003,226000
747,0.0,2.0,0,747,220,1945.0,747,TA,4608,47.0,0.0,0,6,4,747,1945,1950,80000
1304,983.0,2.883272058823529,603,701,667,1953.0,2287,TA,15593,81.0,0.0,21,4,7,1304,1953,1953,225000
2223,0.0,3.0,1880,343,516,1973.0,2223,TA,13651,95.0,1115.0,0,6,7,2223,1973,1973,244000
845,0.0,2.0,565,280,360,1987.0,845,TA,7599,69.0,0.0,0,6,4,845,1982,2006,129500
885,833.0,3.0,0,832,427,1998.0,1718,TA,10141,74.0,40.0,94,5,7,832,1998,1998,185000
1086,0.0,3.0,320,404,490,1989.0,1086,TA,10200,85.0,104.0,0,7,5,1086,1954,2003,144900
840,765.0,3.0,0,840,379,1915.0,1605,TA,5790,60.0,0.0,0,6,3,840,1915,1950,107400
526,462.0,2.0,462,0,297,1973.0,988,TA,1596,21.0,0.0,101,5,4,462,1973,1973,91000
952,0.0,2.0,228,724,283,1956.0,952,TA,8475,69.61401673640168,0.0,0,7,4,952,1956,1956,135750
1072,213.0,2.0,336,295,240,1948.0,1285,TA,8635,50.0,0.0,0,5,5,672,1948,2001,127000
1768,0.0,4.0,0,1768,0,1979.0,1768,TA,10778,72.0,0.0,0,5,4,1768,1968,1968,136500
682,548.0,2.0,0,440,440,1966.0,1230,TA,10440,60.0,0.0,0,6,5,440,1910,1981,110000
1182,960.0,2.883272058823529,448,448,509,1968.0,2142,Gd,13000,100.0,576.0,72,6,6,896,1968,1968,193500
1337,0.0,2.0,1201,36,405,1998.0,1337,TA,4500,32.0,443.0,199,5,6,1237,1998,1998,153500
1563,0.0,3.0,33,1530,758,2007.0,1563,Gd,10206,78.0,468.0,99,5,8,1563,2007,2007,245000
1065,0.0,3.0,0,1065,461,1974.0,1065,TA,8892,80.0,66.0,0,5,5,1065,1960,1960,126500
804,670.0,3.0,0,384,400,1995.0,1474,TA,8530,69.61401673640168,22.0,72,5,7,384,1995,1996,168500
1301,1116.0,4.0,0,1288,462,1991.0,2417,Gd,16059,121.0,284.0,82,5,8,1288,1991,1992,260000
684,876.0,3.0,0,684,400,2005.0,1560,Gd,11911,122.0,0.0,38,5,6,684,2005,2005,174000
612,612.0,2.883272058823529,0,612,528,2009.0,1224,Gd,3951,40.0,76.0,234,5,6,612,2009,2009,164500
1013,0.0,2.0,0,1013,0,1979.0,1526,Fa,8470,105.0,0.0,0,2,3,1013,1915,1982,85000
990,0.0,3.0,588,402,0,1979.0,990,TA,8070,60.0,0.0,0,5,4,990,1994,1995,123600
1040,0.0,2.0,0,0,420,1950.0,1040,TA,7200,60.0,0.0,29,5,4,0,1950,1950,109900
1235,0.0,2.0,600,635,480,1961.0,1235,TA,8500,85.0,203.0,0,3,5,1235,1961,1961,98600
964,0.0,2.0,713,163,432,1921.0,964,TA,13360,80.0,0.0,0,7,5,876,1921,2006,163500
1260,1031.0,4.0,1046,168,506,1900.0,2291,TA,7200,60.0,0.0,0,6,6,1214,1910,1998,133900
905,881.0,3.0,648,176,684,1997.0,1786,Gd,9337,69.0,0.0,162,5,6,824,1997,1997,204750
680,790.0,3.0,310,370,420,1993.0,1470,TA,9765,69.61401673640168,68.0,63,8,6,680,1993,1993,185000
1588,0.0,2.883272058823529,1162,426,472,1999.0,1588,Gd,10264,78.0,183.0,29,5,7,1588,1999,1999,214000
960,0.0,3.0,520,440,432,1965.0,960,TA,10921,73.0,48.0,0,5,4,960,1965,1965,94750
835,0.0,2.0,108,350,366,1920.0,835,TA,10625,85.0,0.0,0,5,5,458,1920,1950,83000
