1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,GarageArea,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1828,0.0,2.8832720588235294,48,1774,774,2007.0,1828,Gd,11694,90.0,452.0,108,5,9,1822,2007,2007,314813
894,0.0,2.0,0,894,308,1962.0,894,TA,6600,60.0,0.0,0,5,5,894,1962,1962,109500
964,0.0,2.0,713,163,432,1921.0,964,TA,13360,80.0,0.0,0,7,5,876,1921,2006,163500
1689,0.0,3.0,1218,350,857,2002.0,1689,Gd,13265,69.61401673640168,148.0,59,5,8,1568,2002,2002,271000
1541,0.0,3.0,0,1541,843,2001.0,1541,Gd,13704,118.0,150.0,81,5,7,1541,2001,2002,205000
1221,0.0,2.0,410,811,400,2004.0,1221,Gd,7500,62.0,0.0,113,5,7,1221,2004,2005,185000
1324,0.0,3.0,643,445,440,1965.0,1324,TA,8658,84.0,101.0,138,5,6,1088,1965,1965,160000
696,720.0,3.0,604,92,484,1999.0,1416,Gd,2572,24.0,0.0,44,5,7,696,1999,1999,155000
526,462.0,2.0,462,0,297,1973.0,988,TA,1596,21.0,0.0,101,5,4,462,1973,1973,91000
869,349.0,3.0,375,360,440,2003.0,1218,TA,6000,60.0,0.0,0,6,6,735,1941,1950,131000
760,896.0,3.0,0,746,397,2003.0,1656,Gd,6931,60.0,92.0,128,5,7,746,2003,2004,165400
1362,0.0,2.0,20,1342,460,2005.0,1362,Gd,7577,61.0,256.0,28,5,6,1362,2005,2006,194700
1051,788.0,4.0,0,756,442,1966.0,1839,TA,7700,70.0,351.0,124,5,6,756,1966,1966,155000
1375,0.0,2.0,0,1367,451,1954.0,1375,TA,11310,75.0,0.0,30,5,6,1367,1954,1954,140000
1122,0.0,2.0,144,172,528,1948.0,1122,Gd,12000,100.0,0.0,36,7,5,924,1948,2005,147000
1432,0.0,2.0,680,289,588,1978.0,1432,Gd,16157,69.61401673640168,0.0,180,7,5,1360,1978,1978,194000
728,728.0,3.0,0,728,400,2007.0,1456,Gd,9018,65.0,0.0,24,5,7,728,2007,2007,179540
1217,0.0,3.0,611,577,497,1990.0,1217,Gd,9947,69.61401673640168,0.0,27,5,7,1188,1990,1991,173000
1040,0.0,2.0,0,0,625,1950.0,1040,TA,7200,60.0,0.0,0,7,5,0,1950,1950,109500
612,612.0,2.0,294,318,528,2009.0,1224,Gd,3000,30.0,76.0,234,5,6,612,2009,2009,173733
1022,752.0,2.0,0,952,468,1931.0,1774,TA,6120,51.0,0.0,0,5,7,952,1931,1950,129900
961,406.0,4.0,241,229,384,1978.0,1367,TA,8405,50.0,0.0,130,8,5,861,1900,1950,119000
803,557.0,2.0,0,803,297,1951.0,1360,Gd,7200,60.0,0.0,65,6,5,803,1938,1995,125500
848,0.0,1.0,697,151,420,2004.0,848,Gd,4426,69.61401673640168,147.0,0,5,6,848,2004,2004,149300
1482,780.0,2.8832720588235294,871,611,749,2003.0,2262,Gd,12244,85.0,226.0,0,5,8,1482,2003,2003,305000
1220,0.0,2.0,836,0,396,1951.0,1220,TA,8877,67.0,0.0,0,5,4,836,1951,1951,102000
1414,0.0,2.0,0,1375,398,2004.0,1414,Gd,3072,69.61401673640168,18.0,20,5,7,1375,2004,2004,178740
1134,924.0,3.0,319,416,396,1950.0,2058,TA,9600,60.0,0.0,0,5,6,735,1917,1950,129500
1088,110.0,4.0,0,901,0,1979.0,1198,TA,5586,60.0,0.0,98,7,6,901,1920,1998,79900
1659,0.0,2.0,1158,343,499,2000.0,1659,Ex,5664,40.0,0.0,59,5,8,1501,2000,2000,278000
1012,0.0,2.0,0,1012,308,1920.0,1012,TA,8263,59.0,0.0,22,5,6,1012,1920,1950,118400
1687,998.0,5.0,523,301,672,1970.0,3082,TA,15863,102.0,0.0,63,3,7,824,1920,1970,197000
1032,0.0,4.0,0,360,672,1999.0,1812,Gd,7630,76.0,0.0,0,9,5,360,1900,1996,140000
1057,872.0,3.0,738,319,650,2001.0,1929,Gd,7050,69.61401673640168,0.0,235,5,7,1057,2001,2001,226000
954,0.0,3.0,483,428,576,1976.0,954,TA,10780,55.0,0.0,0,5,5,911,1976,1976,132500
1838,0.0,2.0,1260,578,765,2006.0,1838,Ex,14601,85.0,584.0,68,5,9,1838,2006,2006,315000
1640,0.0,3.0,728,568,924,1993.0,1640,Gd,14778,69.61401673640168,72.0,0,7,6,1296,1954,2006,224000
1148,0.0,3.0,1148,0,672,1959.0,1148,TA,7931,70.0,0.0,0,5,5,1148,1959,1959,132500
950,0.0,2.8832720588235294,412,251,280,1981.0,950,TA,9758,61.0,0.0,0,5,5,950,1971,1971,119500
1065,846.0,3.0,380,397,471,1993.0,1911,Gd,9554,80.0,125.0,81,5,8,777,1993,1994,215000
915,720.0,3.0,300,765,440,1950.0,1635,TA,8737,70.0,0.0,38,7,6,1065,1923,1950,210000
1316,0.0,3.0,0,1316,440,2007.0,1316,Gd,11175,103.0,0.0,20,5,7,1316,2007,2007,200141
1442,0.0,2.0,0,1442,615,1970.0,1442,TA,11717,69.61401673640168,571.0,0,6,6,1442,1970,1970,185000
1078,0.0,3.0,734,344,500,1971.0,1078,TA,12537,69.61401673640168,0.0,0,6,5,1078,1971,2008,149900
1120,0.0,3.0,932,108,544,1961.0,1120,Fa,6970,85.0,0.0,0,5,4,1040,1961,1961,129000
779,640.0,3.0,353,55,527,2002.0,1419,Gd,7750,69.61401673640168,0.0,0,5,8,408,2002,2002,184100
707,682.0,3.0,0,651,240,1947.0,1389,TA,3378,60.0,0.0,0,8,7,651,1946,1992,135000
1063,0.0,3.0,354,412,280,1954.0,1063,TA,9920,80.0,110.0,0,5,5,1056,1954,1954,128000
1792,0.0,2.0,1567,225,874,2003.0,1792,Ex,11846,72.0,562.0,49,5,9,1792,2003,2004,374000
1216,0.0,2.0,897,319,402,1998.0,1216,TA,4500,32.0,116.0,125,5,6,1216,1998,1998,164000
998,764.0,4.0,0,596,576,1989.0,1762,Gd,7200,60.0,0.0,0,7,7,596,1920,1950,157000
847,1112.0,4.0,0,847,434,2004.0,1959,Gd,11796,59.0,0.0,48,5,7,847,2004,2005,215000
1208,0.0,3.0,767,441,546,1977.0,1208,TA,11250,69.61401673640168,0.0,42,6,6,1208,1977,1977,165000
